,city_name,Latitude,Longitude,max_temp(fahrenheit),Cloudiness,Humidity(%),Wind
363,Sao Cristovao,-11.0148,-37.2064,82.4,40,74,5.1
364,Santo Amaro das Brotas,-10.7889,-37.0545,82.4,40,74,5.1
365,Barra,-11.15,-37.1667,82.4,40,74,5.1
366,Laranjeiras,-10.8064,-37.17,82.4,40,74,5.1
367,Maruim,-10.7375,-37.0817,82.4,40,74,5.1
368,Pirambu,-10.7378,-36.8562,82.4,40,74,5.1
369,Rosário do Catete,-10.6962,-37.0306,82.4,40,74,5.1
370,Carmópolis,-10.6481,-36.9889,82.4,40,74,5.1
371,Areia Branca,-10.7578,-37.3153,82.4,40,74,5.1
372,Santa Rosa de Lima,-10.6464,-37.1939,82.4,40,74,5.1
373,Japaratuba,-10.5934,-36.9403,82.4,40,74,5.1
374,Siriri,-10.6039,-37.1128,82.4,40,74,5.1
375,Malhador,-10.6578,-37.3048,82.4,40,74,5.1
376,Salgado,-11.032,-37.475,82.4,40,74,5.1
377,Capela,-10.5034,-37.0528,82.4,40,74,5.1
378,Estancia,-11.2684,-37.4384,82.4,40,74,5.1
379,Arrondissement de Saint-Laurent-du-Maroni,4.0,-53.75,75.074,76,93,1.11
380,Maripa-Village,3.6333,-54.05,72.68,76,96,1.01
381,Grand-Santi,4.25,-54.3834,75.794,48,91,1.33
382,Stoelmanseiland,4.35,-54.4167,75.794,48,91,1.33
383,Guyane,4.0,-53.0,77.144,92,85,1.13
384,Guyane,3.9989,-53.0,77.144,92,85,1.13
385,Guyane,3.9993,-52.9986,77.144,92,85,1.13
386,Apatou,5.155,-54.3473,78.17,68,77,1.91
387,Apatou,5.1567,-54.3432,78.17,68,77,1.91
388,Nalgonda,17.05,79.2667,73.03999999999999,44,71,1.11
389,Devarkonda,16.7,78.9333,73.03999999999999,44,71,1.11
390,Gudur,17.4833,78.8167,75.2,40,83,3.6
391,Bhongir,17.5108,78.8889,75.2,40,83,3.6
392,Hyderābād,17.25,78.5,75.2,40,83,3.6
393,Ghatkesar,17.4494,78.6853,75.2,40,83,3.6
394,Lal Bahadur Nagar,17.3477,78.5576,75.2,40,83,3.6
395,Mirialguda,16.8667,79.5833,71.50999999999999,20,77,1.36
396,Gaddi Annaram,17.3669,78.5242,75.2,40,83,3.6
397,Uppal Kalan,17.4058,78.5591,75.2,40,83,3.6
398,Balapur,17.3108,78.48,75.2,40,83,3.6
399,Suriapet,17.15,79.6167,73.274,56,74,3.48
400,Shamshabad,17.2519,78.4184,75.2,40,83,3.6
401,Hyderabad,17.3753,78.4744,75.2,40,83,3.6
402,Malkajgiri,17.4478,78.5263,75.2,40,83,3.6
403,Trimulgherry,17.4703,78.5167,75.2,40,83,3.6
404,Kakaguda,17.4595,78.5046,75.2,40,83,3.6
405,Macherla,16.4833,79.4333,69.53,24,72,1.43
406,Secunderabad,17.5043,78.5426,75.2,40,83,3.6
407,Quthbullapur,17.5011,78.4582,75.2,40,83,3.6
408,Région du Logone Occidental,8.7529,15.8724,82.03999999999999,48,49,4.76
409,Benoy,8.9833,16.3199,84.974,32,49,5.73
410,Bere,9.3202,16.1552,80.24000000000001,0,51,3.91
411,Kelo,9.3086,15.8066,73.544,0,56,1.71
412,Koutou-Bébo,8.6234,16.0856,81.19399999999999,0,60,5.71
413,Moundou,8.5667,16.0833,81.19399999999999,0,60,5.71
414,Lai,9.3952,16.2989,80.24000000000001,0,51,3.91
415,Bebedja,8.6761,16.566,82.094,8,59,5.78
416,Beinamar,8.6698,15.3813,81.68,8,54,5.31
417,Région du Tandjilé,9.5,16.5,80.24000000000001,0,51,3.91
418,Gounou Gaya,9.6294,15.5132,73.544,0,56,1.71
419,Région du Logone Oriental,8.25,16.42,81.19399999999999,0,60,5.71
420,Doba,8.65,16.85,82.094,8,59,5.78
421,Région du Mayo-Kébbi Est,10.0,15.83,78.25999999999999,76,42,1.26
422,Pala,9.3642,14.9046,80.564,48,39,2.11
423,Beboto,8.2668,16.939,82.094,8,59,5.78
424,Bogomia I,7.7962,15.6682,79.394,8,57,4.63
425,Région du Mayo-Kébbi Ouest,9.33,14.75,80.564,48,39,2.11
426,Cabudare,10.0289,-69.0895,87.80000000000001,40,61,4.1
427,Sabana de Parra,10.1211,-69.0364,87.80000000000001,40,61,4.1
428,Yaritagua,10.08,-69.1262,87.80000000000001,40,61,4.1
429,Municipio Peña,10.08,-69.1262,87.80000000000001,40,61,4.1
430,Urachiche,10.1592,-69.0112,80.6,40,61,4.1
431,Chivacoa,10.1603,-68.895,80.6,40,61,4.1
432,Municipio Bruzual,10.1667,-68.8834,80.6,40,61,4.1
